?concept	?predicat	?object
JP Y LIBO R BBA	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/JPY-LIBOR-BBA>
JP Y LIBO R BBA	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Swap Stream Calculation Relative Date	rel:isRelativeTo	swap stream interest rate reset scheduleSwap Stream Calculation Relative Date	rel:prefLabel	"Swap Stream Calculation Relative Date"@en
Swap Stream Calculation Relative Date	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/DER/AboutDER/DERSpecification>
Swap Stream Calculation Relative Date	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/DER/RateDerivatives/IRSwaps/SwapStreamCalculationRelativeDate>
Swap Stream Calculation Relative Date	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Organization	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Organization	rel:example	"This may be a business entity or a government, international or not-for-profit, or other unincorporated social organization."
Organization	rel:definition	"a unique framework of authority within which a person or persons act, or are designated to act, towards some purpose, such as to meet a need or pursue collective goals on a continuing basis"
Organization	rel:has	goalOrganization	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/FND/Organizations/Organizations/Organization>
Organization	rel:hasPart	organizationOrganization	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
Organization	rel:hasMember	autonomous agentOrganization	rel:prefLabel	"Organization"@en
Organization	rel:hasAddress	physical addressOrganization	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"https://www.iso.org/obp/ui/#iso:std:iso-iec:6523:-1:ed-1:v1:en"
CH F M LIBORSWA P CM E LC H ICA P Bloomberg	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
CH F M LIBORSWA P CM E LC H ICA P Bloomberg	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
CH F M LIBORSWA P CM E LC H ICA P Bloomberg	rel:definition	"individual representing the FpML floating interest index for the CHF-6M LIBORSWAP-CME vs LCH-ICAP-Bloomberg"
CH F M LIBORSWA P CM E LC H ICA P Bloomberg	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
CH F M LIBORSWA P CM E LC H ICA P Bloomberg	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/CHF-6M_LIBORSWAP-CME_vs_LCH-ICAP-Bloomberg>
CH F M LIBORSWA P CM E LC H ICA P Bloomberg	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
IN R MIOIS	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
IN R MIOIS	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
IN R MIOIS	rel:definition	"individual representing the FpML floating interest index for the INR-MIOIS"
IN R MIOIS	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
IN R MIOIS	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/INR-MIOIS>
IN R MIOIS	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
US D Treasury Rate Swap Marker	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
US D Treasury Rate Swap Marker	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
US D Treasury Rate Swap Marker	rel:definition	"individual representing the FpML floating interest index for the USD-Treasury Rate-SwapMarker99"
US D Treasury Rate Swap Marker	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
US D Treasury Rate Swap Marker	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/USD-Treasury_Rate-SwapMarker99>
US D Treasury Rate Swap Marker	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Commercial Bank	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"The traditional commercial bank is a brick and mortar institution with tellers, safe deposit boxes, vaults and ATMs. However, some commercial banks do not have any physical branches and require consumers to complete all transactions by phone or Internet. In exchange, they generally pay higher interest rates on investments and deposits, and charge lower fees."
Commercial Bank	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"A commercial bank is a financial institution that is owned by stockholders, operates for a profit, and engages in various lending activities."
Commercial Bank	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/definitionOrigin>	"http://www.investopedia.com/terms/c/commercialbank.asp"
Commercial Bank	rel:hasIdentity	corporationCommercial Bank	rel:prefLabel	"Commercial Bank"@en
Commercial Bank	rel:definition	"a bank that provides services, such as accepting deposits, giving business loans and auto loans, mortgage lending, and basic investment products like savings accounts and certificates of deposit"
Commercial Bank	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>
Commercial Bank	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/FBC/FunctionalEntities/FinancialServicesEntities/CommercialBank>
Commercial Bank	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
JP Y TIBO R TIB M Banks	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"'JPY-TIBOR-TIBM (5 Banks)' code has been deprecated in supplement 47 to the 2006 ISDA definitions. The code is kept in FpML for backward compatibility purposes."
JP Y TIBO R TIB M Banks	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
JP Y TIBO R TIB M Banks	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
JP Y TIBO R TIB M Banks	rel:definition	"individual representing the FpML floating interest index for the JPY-TIBOR-TIBM (5 Banks)"
JP Y TIBO R TIB M Banks	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
JP Y TIBO R TIB M Banks	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/JPY-TIBOR-TIBM_5_Banks>
JP Y TIBO R TIB M Banks	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
VN D Semi Annual Swap Rate BGCANTOR	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
VN D Semi Annual Swap Rate BGCANTOR	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
VN D Semi Annual Swap Rate BGCANTOR	rel:definition	"individual representing the FpML floating interest index for the VND-Semi-Annual Swap Rate-11:00-BGCANTOR"
VN D Semi Annual Swap Rate BGCANTOR	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
VN D Semi Annual Swap Rate BGCANTOR	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/VND-Semi-Annual_Swap_Rate-11_00-BGCANTOR>
VN D Semi Annual Swap Rate BGCANTOR	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Governmental Constitution	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Most constitutions seek to regulate the relationship between institutions of the state, in a basic sense the relationship between the executive, legislature and the judiciary, but also the relationship of institutions within those branches.  For example, executive branches can be divided into a head of government, government departments/ministries, executive agencies and a civil service/administration.  Most constitutions also attempt to define the relationship between individuals and the state, and to establish the broad rights of individual citizens. It is thus the most basic law of a territory from which all the other laws and rules are hierarchically derived; in some territories it is in fact called Basic Law."
Governmental Constitution	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/definitionOrigin>	"http://en.wikipedia.org/wiki/Constitution#Governmental_constitutions"
Governmental Constitution	rel:prefLabel	"Governmental Constitution"@en
Governmental Constitution	rel:editorialNote	"This defines the framework in which laws are made and in which they have force."
Governmental Constitution	rel:definition	"a set of rules and principles that define the nature and extent of government"
Governmental Constitution	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
Governmental Constitution	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/FND/Law/LegalCore/GovernmentalConstitution>
Governmental Constitution	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
AU D LIBO R BB A Bloomberg	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
AU D LIBO R BB A Bloomberg	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
AU D LIBO R BB A Bloomberg	rel:definition	"individual representing the FpML floating interest index for the AUD-LIBOR-BBA-Bloomberg"
AU D LIBO R BB A Bloomberg	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
AU D LIBO R BB A Bloomberg	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/AUD-LIBOR-BBA-Bloomberg>
AU D LIBO R BB A Bloomberg	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
