?concept	?object	?predicat	1
currency conversion service	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
currency conversion service	<https://spec.edmcouncil.org/fibo/ontology/IND/ForeignExchange/ForeignExchange/CurrencyConversionService>	rel:isDefinedBy	1
currency conversion service	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
jpy libor bba	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
jpy libor bba	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
jpy libor bba	"individual representing the FpML floating interest index for the JPY-LIBOR-BBA"	rel:definition	1
jpy libor bba	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
jpy libor bba	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/JPY-LIBOR-BBA>	rel:isDefinedBy	1
jpy libor bba	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
swap stream calculation relative date	swap stream interest rate reset schedule	rel:isRelativeTo	1
swap stream calculation relative date	<https://spec.edmcouncil.org/fibo/DER/AboutDER/DERSpecification>	<http://purl.org/dc/terms/isPartOf>	1
swap stream calculation relative date	<https://spec.edmcouncil.org/fibo/ontology/DER/RateDerivatives/IRSwaps/SwapStreamCalculationRelativeDate>	rel:isDefinedBy	1
swap stream calculation relative date	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
organization	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
organization	"This may be a business entity or a government, international or not-for-profit, or other unincorporated social organization."	rel:example	1
organization	"a unique framework of authority within which a person or persons act, or are designated to act, towards some purpose, such as to meet a need or pursue collective goals on a continuing basis"	rel:definition	1
organization	goal	rel:has	1
organization	<https://spec.edmcouncil.org/fibo/ontology/FND/Organizations/Organizations/Organization>	rel:isDefinedBy	1
organization	organization	rel:hasPart	1
organization	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
organization	autonomous agent	rel:hasMember	1
organization	physical address	rel:hasAddress	1
organization	"https://www.iso.org/obp/ui/#iso:std:iso-iec:6523:-1:ed-1:v1:en"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
chf liborswap cme lch icap bloomberg	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
chf liborswap cme lch icap bloomberg	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
chf liborswap cme lch icap bloomberg	"individual representing the FpML floating interest index for the CHF-6M LIBORSWAP-CME vs LCH-ICAP-Bloomberg"	rel:definition	1
chf liborswap cme lch icap bloomberg	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
chf liborswap cme lch icap bloomberg	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/CHF-6M_LIBORSWAP-CME_vs_LCH-ICAP-Bloomberg>	rel:isDefinedBy	1
chf liborswap cme lch icap bloomberg	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
inr miois	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
inr miois	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
inr miois	"individual representing the FpML floating interest index for the INR-MIOIS"	rel:definition	1
